date,Open,High,Low,Weekday,Close
2013-01-23,1.5837,1.5892,1.58,Wednesday,1.5846
2013-01-22,1.5829,1.5883,1.5808,Tuesday,1.5835
2013-01-21,1.5847,1.5893,1.5804,Monday,1.5827
2013-01-18,1.5991,1.6006,1.5853,Friday,1.5859
2013-01-17,1.6005,1.6039,1.5954,Thursday,1.5994
2013-01-16,1.6063,1.608,1.5973,Wednesday,1.6004
2013-01-15,1.6075,1.6101,1.6031,Tuesday,1.6063
2013-01-14,1.6131,1.6154,1.603,Monday,1.6074
2013-01-11,1.6166,1.6177,1.6087,Friday,1.6128
2013-01-10,1.6006,1.6168,1.6001,Thursday,1.6163
2013-01-09,1.6054,1.6075,1.599,Wednesday,1.6022
2013-01-08,1.6114,1.6129,1.6028,Tuesday,1.6053
2013-01-07,1.6073,1.6117,1.6019,Monday,1.6113
2013-01-04,1.6106,1.6109,1.6008,Friday,1.6066
2013-01-03,1.6255,1.6256,1.609,Thursday,1.6105
2013-01-02,1.6246,1.638,1.6223,Wednesday,1.6252
2013-01-01,1.6251,1.6267,1.6224,Tuesday,1.6244
2012-12-31,1.6171,1.6274,1.6131,Monday,1.6245
2012-12-28,1.6098,1.617,1.6077,Friday,1.6167
2012-12-27,1.6135,1.6202,1.6065,Thursday,1.6097
2012-12-26,1.6123,1.6171,1.6106,Wednesday,1.6135
2012-12-25,1.6118,1.6142,1.5899,Tuesday,1.6124
2012-12-24,1.6148,1.6206,1.6099,Monday,1.6121
2012-12-21,1.6277,1.6283,1.6149,Friday,1.6169
2012-12-20,1.6245,1.6296,1.6237,Thursday,1.6277
2012-12-19,1.625,1.6306,1.6242,Wednesday,1.6244
2012-12-18,1.6202,1.6269,1.6193,Tuesday,1.6251
2012-12-17,1.6164,1.6216,1.6156,Monday,1.6203
2012-12-14,1.6111,1.6178,1.6101,Friday,1.6168
2012-12-13,1.6147,1.6153,1.6084,Thursday,1.6111
2012-12-12,1.6112,1.6172,1.6093,Wednesday,1.6147
2012-12-11,1.6075,1.6121,1.6066,Tuesday,1.6112
2012-12-10,1.6035,1.6096,1.6012,Monday,1.6072
2012-12-07,1.6046,1.6061,1.6001,Friday,1.6037
2012-12-06,1.6095,1.6127,1.6037,Thursday,1.6049
2012-12-05,1.61,1.6118,1.608,Wednesday,1.6089
2012-12-04,1.6091,1.6131,1.6083,Tuesday,1.6096
2012-12-03,1.6015,1.6116,1.6012,Monday,1.6089
2012-11-30,1.6039,1.6062,1.5988,Friday,1.6008
2012-11-29,1.6013,1.6048,1.6,Thursday,1.6039
2012-11-28,1.602,1.6025,1.5961,Wednesday,1.6015
