Open,High,Low,Weekday,Close
1.2627,1.2632,1.2528,Tuesday,1.2565
1.6312,1.644,1.6286,Tuesday,1.6376
1.2889,1.2946,1.287,Monday,1.2913
1.11,1.1381,1.1055,Thursday,1.133
1.7986,1.813,1.7958,Wednesday,1.8111
1.2343,1.2406,1.2259,Monday,1.2328
1.7179,1.7225,1.7145,Thursday,1.7204
1.3052,1.3126,1.3003,Tuesday,1.3036
1.5704,1.5736,1.5647,Tuesday,1.5707
2.1021,2.1116,2.0972,Thursday,2.1072
1.6304,1.6328,1.6222,Tuesday,1.6284
1.6496,1.6549,1.6482,Tuesday,1.6529
2.0231,2.0288,2.0199,Monday,2.0245
2.019,2.0224,2.0055,Friday,2.0073
1.9046,1.9198,1.898,Monday,1.904
1.6313,1.641,1.6174,Tuesday,1.6329
1.3478,1.358,1.3448,Monday,1.3563
1.2573,1.2627,1.2498,Thursday,1.2606
1.2379,1.2546,1.2373,Monday,1.2535
1.9738,1.9757,1.9653,Monday,1.9696
1.966,1.9847,1.9636,Friday,1.9808
1.6972,1.6985,1.695,Wednesday,1.6954
2.0117,2.014,2.0057,Friday,2.0107
1.3672,1.3773,1.3665,Friday,1.3749
1.5639,1.5677,1.5448,Wednesday,1.5488
1.5951,1.6036,1.5944,Friday,1.6005
1.4205,1.4205,1.4089,Thursday,1.4147
1.2878,1.3001,1.2831,Thursday,1.2983
1.2556,1.2674,1.254,Wednesday,1.2651
1.4463,1.4474,1.4351,Monday,1.4455
1.5898,1.5908,1.5708,Tuesday,1.5846
1.3107,1.3472,1.3103,Thursday,1.3339
1.7835,1.7867,1.7712,Wednesday,1.7752
1.3503,1.3524,1.3442,Wednesday,1.3462
1.659,1.6643,1.6586,Monday,1.6608
1.6479,1.652,1.6433,Monday,1.646
1.5982,1.6019,1.5886,Friday,1.5892
1.5498,1.5628,1.5484,Thursday,1.5573
1.5827,1.5832,1.566,Friday,1.567
1.6327,1.633,1.612,Wednesday,1.6129
1.5531,1.5537,1.5402,Friday,1.5454
1.8137,1.8276,1.8092,Thursday,1.8155
1.5653,1.5737,1.5635,Thursday,1.5717
1.258,1.2591,1.2567,Thursday,1.258
1.3898,1.3913,1.3844,Wednesday,1.39
1.2416,1.2483,1.2406,Monday,1.2465
1.8587,1.8867,1.8578,Tuesday,1.8834
1.4407,1.47,1.4351,Wednesday,1.4626
1.1994,1.2049,1.1913,Friday,1.204
1.6123,1.6163,1.6108,Tuesday,1.6141
1.268,1.2683,1.2569,Wednesday,1.2625
1.4094,1.4147,1.4076,Monday,1.4137
1.382,1.384,1.3722,Wednesday,1.3737
1.4452,1.452,1.4401,Monday,1.4482
1.9984,1.9994,1.9871,Wednesday,1.9897
1.2165,1.2175,1.2111,Wednesday,1.2128
1.8873,1.8989,1.8861,Monday,1.8935
2.0509,2.0533,2.0258,Monday,2.0307
1.999,2.0004,1.9956,Monday,1.9975
1.8806,1.8809,1.8621,Tuesday,1.8639
1.2223,1.228,1.2197,Monday,1.2246
1.5388,1.5402,1.5202,Thursday,1.5212
1.5201,1.524,1.511,Thursday,1.5117
1.5348,1.5397,1.5112,Friday,1.5138
1.3904,1.3941,1.3854,Thursday,1.3888
1.3008,1.3022,1.2955,Monday,1.296
1.5718,1.5722,1.561,Friday,1.5619
1.8801,1.8918,1.8749,Thursday,1.89
1.7408,1.7631,1.7393,Tuesday,1.7409
1.441,1.4524,1.4409,Tuesday,1.4456
2.0215,2.0216,2.0085,Tuesday,2.0183
1.8401,1.855,1.8389,Wednesday,1.8544
1.292,1.2943,1.2853,Monday,1.2914
1.3536,1.3555,1.341,Wednesday,1.3425
1.4484,1.4579,1.4376,Tuesday,1.448
